follow,続く、従う
accurate,正確な
sharp,急激な
rude,失礼な
sufficient,十分な
urban,都会の
widespread,広まっている
primitive,原始的な
permanent,永久
elderly,高齢
severe,厳しい
brief,簡潔な
slight,少しの
latest,最新の
military,軍事的
strict,厳しい
solid,固体の
stupid,ばかな
biological,生物
probably,おそらく
hardly,ほとんど...ない
immediately,すぐに
eventually,ついに
frequently,しばしば
extremely,非常に
gradually,だんだん
merely,単に
nevertheless,それにもかかわらず
moreover,その上
relatively,比較的
apparently,一見
absolutely,絶対に
largely,主に
mostly,大部分は
somewhat,多少
necessarily,必ずしも
despite,にもかかわらず
proceed,進む
ensure,～を確実にする
interpret,～を解釈する
cease,Ｖしなくなる
spoil,～を台無しにする
obey,～に従う
eliminate,〈不要なもの〉を除去する
resist,～に抵抗する
accompany,〈人〉に同伴する
weigh,～の重さがある、～を比較検討する、よく考える
persue,～を追求する
demonstrate,〈証拠などが〉～を明らかに示す、証明する
amuse,～を楽しませる
ruin,～を台無しにする、破滅させる
regret,～を後悔する
attach,ＡをＢにくっつける
reverse,～を反対にする、逆転する
restrict,～を制限する
compose,～を組み立てる
capture,～を捕らえる
substitute,～を代わりに用いる
trace,～の跡をたどる
interrupt,～を妨げる
confront,〈障害などが〉〈人〉の前に立ちふさがる、〈人が〉〈障害など〉に立ち向かう
illustrate,～を（例で）示す
arrest,～を逮捕する
stimulate,～を刺激する
assure,（～を）保証する
consult,〈専門家・医者など〉に相談する、〈辞書など〉を参照する
depress,～を憂鬱にさせる
crash,激突する
inspire,〈人〉を奮起させる、やる気にさせる
specialize,Ａを専門にする、専攻する
cultivate,〈感情・能力など〉を育む、〈土地〉を耕作する
fulfill,〈約束・夢など〉を果たす
transmit,～を送る、伝える
found,～を創立する、設立する
cheer,～を励ます
burst,破裂する、突然～し出す
bow,おじぎする
dismiss,〈考えなど〉を無視する
breed,～を繁殖させる、繁殖する
prohibit,〈法・団体が〉～を禁じる
oblige,～に強いる
qualify,Ａに適任である
invest,（金）を投資する
grasp,～を理解する
collapse,崩壊する
overlook,～を見落とす・見逃す
accuse,～を非難する
frustrate,〈人〉を欲求不満にさせる
deprive,ＡからＢ（機会・自由・睡眠など）を奪う
astonish,～を驚嘆させる
register,～を登録する
correspond,一致する
cast,～を投げる
attribute,ＡをＢのせいにする
freeze,凍りつく
starve,飢える
resolve,〈問題など〉を解決する
embrace,〈思想など〉を受け入れる、～を含む
exhibit,～を展示する
convert,～を転換する
scare,～をおびえさせる
constitute,～を構成する、占める、～である
appoint,～を任命する
sew,～を縫う
assign,〈仕事・物〉を割り当てる
nod,うなづく
elect,～を選挙で選ぶ
acknowledge,〈事実、重要性など〉を認める
rob,ＡからＢを奪う
lean,寄りかかる、もたれる
undertake,（仕事など）を引き受ける
drown,おぼれ死ぬ
split,～を割る、分裂する
resort,Ａ（手段）に訴える
descend,下る、降りる
irritate,～をいらだたせる
pronounce,〈単語など〉を発音する
equip,～を装備させる
cheat,いかさまをする
decorate,～を装飾する
pardon,～を許す
heal,〈けがなど〉を治す、治る
forgive,〈過ち・人〉を許す
envy,～をうらやむ
chase,～を追いかける
prompt,～を促す
withdraw,～を引っ込める、引きこもる、退く、〈預金など〉を引き出す
detect,～を探知する、〈誤り・病気など〉を発見する
interfere,Ａをじゃまする
launch,〈ロケットなど〉を打ち上げる、〈事業など〉を始める
endanger,～を危険にさらす
foster,～を促進する、育成する
diminish,減少する、衰える、～を減らす
spill,～をこぼす
infect,〈人〉に感染する
stem,Ａから生じる、Ａに由来する
tap,～を軽くたたく
bet,きっと～だと思う
declare,を宣言する
alter,を変える
retire,辞める
transform,変える
defeat,を打ち負かす
investigate,を調査する
pretend,ふりをする
annoy,をいらだたせる
deserve,当然だ
bury,を埋める
cope,うまく対処する
pour,を注ぐ
score,を取る
accomplish,をやりとげる
hesitate,ためらう
endure,に耐える
translate,翻訳する
guarantee,を保証する
dominate,を支配する
confirm,を裏づける
greet,あいさつする
entertain,を楽しませる
defend,を守る
forbid,を禁じる
broadcast,を放送する
sacrifice,を犠牲にする
punish,を罰する
glance,ちらりと見る
retain,を保持する
calculate,を計算する
sink,沈む
rescue,を救助する
beg,と乞う
apologize,謝る
deceive,をだます
convey,を伝える
sustain,を維持する
float,浮かぶ
vanish,消える
fade,薄れる
regulate,を規制する
distribute,を分配する
enhance,を向上させる
chat,おしゃべりする
exceed,を超える
wipe,をふく
cooperate,協力する
inherit,を受け継ぐ
restore,を修復する
unite,を団結させる
leap,跳ぶ
exaggerate,を誇張する
conquer,を征服する
melt,溶ける
invade,に侵入する
modify,を修正する
scatter,をばらまく
undergo,を経験する
evaluate,を評価する
bend,身をかがめる
assist,手伝う
scream,悲鳴をあげる
gaze,見つめる
rub,をこする
polish,を磨く
classify,分類する
assert,と主張する
grab,をつかむ
fold,を折りたたむ
sweep,を掃く
whisper,ささやく
imitate,をまねる
proportion,比率
contract,契約
appointment,（人と会う）約束、（医院などの）予約
treasure,財宝
stock,株（式）
facility,設備、施設
sum,金額、合計、要約
rank,地位
democracy,民主主義、民主国家
emergency,緊急事態
protest,抗議
track,小道、足跡
vehicle,車、乗り物、（伝達）手段
routine,決まりきった仕事、日課
stuff,（漠然と）物
row,列
wheel,車輪、（自動車の）ハンドル
dawn,夜明け
welfare,福祉
perspective,見方
enthusiasm,熱意、情熱
faith,信頼
occupation,職業、占領
witness,証人、目撃者
kingdom,王国
equivalent,同等のもの、相当するもの
objective,目的、目標、客観的な
pile,積み重ね
shelter,避難（所）
trial,試み、裁判
honor,名誉
territory,領土、なわ張り
frame,わく
border,国境地帯
statistics,統計（学）
enterprise,企業、事業
fee,謝礼、料金
load,荷物
grain,穀物
review,再検討
prejudice,偏見
strain,負担
trap,わな、～をわなにかける
temper,気性
slave,奴隷
wound,傷
divorce,離婚
tune,曲
height,高さ、最盛期
faculty,（大学の）学部、（心身の）能力
span,機関
dimension,〈問題などの〉側面、要素、次元
worship,崇拝
version,型、...版、翻訳
parallel,類似（物）、匹敵するもの
horizon,地平線
acquaintance,知人
burden,重荷
jam,渋滞
poison,毒
constitution,違法
administration,経営、行政
charm,魅力
organ,臓器、器官
prey,獲物、えじき
venture,冒険的事業
mission,使命、任務
inquiry,調査
award,賞
strip,細長い一片
distress,苦しみ、悲嘆、苦難
circulation,循環、流通、発行部数
shade,陰、日陰
stereotype,典型的なイメージ、類型、固定観念
client,（弁護士などの）依頼人
output,生産高
lord,神
convention,慣習、しきたり、（大規模な）会議、大会
mine,鉱山
craft,工芸、技術、船、乗り物
core,中心、（問題の）核心
stroke,脳卒中、発作、打撃、一撃、～をなでる
frontier,国境
peer,同僚、じっと見る
vessel,船、血管、器
disability,〈身体・精神の〉障害
gravity,重力
ethic,倫理
terminal,（バスなどの）終点
tide,潮流、潮の干満
abuse,虐待
incident,出来事
laboratory,研究所
conference,会議
continent,大陸
insurance,保険
site,用地
poverty,貧乏
shortage,不足
affair,情勢
exception,例外
wage,賃金
wisdom,知恵
tax,税金
leisure,暇
barrier,壁
category,範ちゅう
unit,単位
reputation,評判
virtue,美徳
courage,勇気
sympathy,同情
union,組合
document,書類
volume,冊
ceremony,儀式
era,時代
dispute,紛争
campaign,運動
mankind,人類
murder,殺人
landscape,風景
destination,目的地
tale,話
reform,改革
muscle,筋肉
prospect,見通し
corporation,企業
colony,植民地
quarrel,口論
profession,職業
fever,熱
pause,休止
furniture,家具
privilege,特権
prosperity,繁栄
genius,天才
seed,種
symptom,症状
merit,長所
layer,層
clue,手がかり
fiction,小説
district,地区
prison,刑務所
companion,仲間
executive,重役
jsutice,正義
procedure,手続き
ray,光線
heaven,天国
luxury,ぜいたく
oxygen,酸素
fund,資金
theme,主題
boundary,境界
ambition,熱望
forecast,予報
psychology,心理学
charity,慈悲
committee,委員会
physician,医者
shelf,たな
affection,愛情
candidate,候補
bomb,爆弾
priority,優先
obstacle,障害
appetite,食欲
tension,緊張
tribe,部族
budget,予算
temple,神殿
sorrow,悲しみ
satellite,衛星
insight,洞察
cough,せき
fate,運命
scheme,計画
insult,侮辱
inhabitant,住民
fossil,化石
motive,動機
instinct,本能
legend,伝説
empire,帝国
suburbs,郊外
architecture,建築
passion,情熱
horror,恐怖
logic,論理
dozen,ダース
harvest,収穫
ingredient,材料
hypothesis,仮説
voyage,航海
editor,編集長
option,選択の自由
hemisphere,半球
mechanism,仕組み
anthropologist,人類学者
crew,乗組員たち
tragedy,悲劇
refrigerator,冷蔵庫
fare,運賃
debt,借金
curriculum,教育課程
component,構成要素
wheat,小麦
usage,語法
garbage,ゴミ
famine,飢饉
extinction,絶滅
purse,財布
folk,民族
explosion,爆発
portion,部分
organism,生物
merchant,商人
myth,神話
priest,神父
funeral,葬式
wildlife,野生生物
congress,議会
bay,湾
penalty,刑
heritage,遺産
diversity,多様性
thumb,親指
geography,地理
envelope,封筒
discrimination,差別
virus,ウイルス
statue,像
athlete,運動選手
pioneer,先駆者
trait,特徴
bond,きずな
grocery,食料品
secretary,秘書
dialect,方言
astronomy,天文学
youngster,子供
yard,庭
finding,発見
strategy,戦略
lung,肺
opponent,敵
ritual,儀式
outcome,結果
conservation,環境保護
mammal,哺乳類
telescope,望遠鏡
refugee,難民
code,規則
flavor,風味
particle,粒子
nursing,看護
suicide,自殺
habitat,生息地
bullying,いじめ
dinosaur,恐竜
council,議会
gender,性別
surgery,手術
innovation,革新
protein,タンパク質
nutrition,栄養
web,巣
emission,排出
ape,類人猿
molecule,分子
sweat,汗
transplant,移植
castle,城
cartoon,マンガ
tip,先
cattle,牛
density,密度
guilty,有罪の、罪の意識がある
vital,きわめて重要な、必要な、活気のある
rough,荒い、手洗い、大ざっぱな
contemporary,現代の
annual,年に一度の、一年間の
accustomed,慣れた
steady,しっかりした
dull,（人を）退屈させる
keen,〈刃物などが〉鋭い
loose,ゆるい
delicate,繊細な、（問題など）微妙で難しい
internal,内部の、国内の
casual,形式ばらない、気楽な
mature,成熟した
concrete,具体的な
awful,ひどい
senior,（役職などが）上級の、先輩の
overall,全面的な、全体的な
tight,引き締まった、（服などが）きつい
prime,最も重要な、主要な
genuine,本物の、真の、心からの
modest,控えめな、謙虚な、質素な、少しの、わずかな
intimate,親密な
minimum,最小限の
sophisticated,高度な
latter,後者の
bitter,苦い、つらい、腹を立てた
peculiar,独特の、固有の
passive,受動的な、消極的な
ethnic,民族的な、民族の
noble,高貴な
vain,むだな
innocent,無罪の、罪のない、無邪気な
underlying,根本的な
alien,外国（人）の、異質な
relevant,関連のある
inclined,Ｖする傾向がある、Ｖしたい気がある
awkward,〈状況などが〉気まずい
brilliant,すばらしい
desperate,〈人・努力が〉必死の
refreshing,さわやかな
miserable,惨めな
substantial,たくさんの、多大な、実質的な、重要な
consistent,矛盾のない、一致した
